tourney_id,surface,winner_id,loser_id
2020-0891,Hard,106099,106368
2020-0499,Hard,106058,105430
2020-8996,Clay,105077,122669
2020-0568,Hard,133430,104678
2020-560,Hard,100644,106432
2020-7434,Hard,105173,105430
2020-0352,Hard,144895,106099
2020-8888,Hard,105882,126340
2020-9158,Clay,106426,105413
2020-560,Hard,100644,206909
2020-M009,Clay,105227,122330
2020-0605,Hard,106421,106043
2020-M-DC-2020-WG2-PO-PHI-GRE-01,Clay,202065,106150
2020-M-DC-2020-WG1-PO-PER-SUI-01,Clay,105967,126190
2020-M-DC-2020-QLS-M-JPN-ECU-01,Hard,105933,106034
2020-M056,Hard,144750,111513
2020-580,Hard,104925,105147
2020-580,Hard,104925,106415
2020-0506,Clay,106228,106110
2020-0407,Hard,126094,105932
2020-560,Hard,106432,104665
2020-560,Hard,106421,126094
2020-0319,Clay,109739,128034
2020-520,Clay,106043,105841
2020-0605,Hard,106233,126774
2020-8888,Hard,105357,200000
2020-9158,Clay,105077,104665
2020-0891,Hard,106210,106078
2020-0891,Hard,105406,104586
2020-6932,Clay,106233,200335
2020-560,Hard,105449,104545
2020-560,Hard,106331,111513
2020-560,Hard,126610,200005
2020-M009,Clay,200005,104731
2020-520,Clay,134770,105216
2020-520,Clay,104527,136440
2020-580,Hard,104745,105807
2020-580,Hard,104527,104545
2020-580,Hard,105227,105138
2020-580,Hard,104925,105683
2020-8888,Hard,105332,105583
2020-8888,Hard,104745,104655
2020-0499,Hard,111511,105359
2020-0496,Hard,105379,111575
2020-6932,Clay,207989,105077
2020-8888,Hard,106233,106043
2020-580,Hard,105379,105902
2020-6932,Clay,124079,106198
2020-0495,Hard,105732,106415
2020-560,Hard,200670,105550
2020-560,Hard,134770,200325
2020-M009,Clay,124079,105023
2020-0301,Hard,133430,105577
2020-0301,Hard,103852,104665
2020-580,Hard,106401,111575
2020-6932,Clay,106432,106228
2020-560,Hard,105936,144707
2020-560,Hard,106421,105643
2020-520,Clay,200384,106415
2020-560,Hard,100644,105807
2020-7434,Hard,104755,106099
2020-0605,Hard,126774,126094
2020-M-DC-2020-QLS-M-GER-BLR-01,Hard,106078,104259
2020-8888,Hard,200282,133430
2020-580,Hard,124079,136440
2020-0891,Hard,105902,105406
2020-0499,Hard,106415,111511
2020-6932,Clay,205734,200221
2020-560,Hard,144750,106065
2020-9410,Hard,106210,105815
2020-M009,Clay,133430,105550
2020-0352,Hard,104745,111442
2020-M-DC-2020-QLS-M-USA-UZB-01,Hard,124187,104797
2020-0451,Hard,126094,144895
2020-580,Hard,105376,111153
2020-580,Hard,104745,106401
2020-0506,Clay,106148,106065
2020-8996,Clay,205734,134770
2020-8996,Clay,205734,106228
2020-560,Hard,105138,105815
2020-560,Hard,126094,106296
2020-560,Hard,106233,106421
2020-520,Clay,134770,126205
2020-0301,Hard,106378,104312
2020-0891,Hard,106121,124154
2020-6932,Clay,105583,106065
2020-0495,Hard,104792,104755
2020-M009,Clay,105777,126149
2020-M-DC-2020-QLS-M-ARG-COL-01,Clay,106228,105053
2020-M-DC-2020-WG2-PO-GEO-EST-01,Hard,206750,202246
2020-560,Hard,106233,100644
2020-0568,Hard,133430,125802
2020-0301,Hard,144707,126207
2020-580,Hard,105332,105649
2020-9158,Clay,126535,104269
2020-9158,Clay,144895,106329
2020-0424,Hard,104312,105359
2020-0495,Hard,105554,104926
2020-520,Clay,104655,105967
2020-520,Clay,106233,106058
2020-0352,Hard,200175,105357
2020-M-DC-2020-QLS-M-BEL-HUN-01,Clay,105226,106293
2020-0568,Hard,126094,200005
2020-8888,Hard,105550,111794
2020-580,Hard,144719,200384
2020-580,Hard,126094,105676
2020-0506,Clay,124079,106249
2020-560,Hard,105357,105932
2020-M009,Clay,106415,200175
2020-M-DC-2020-WG2-PO-CRC-BUL-01,Hard,106220,132374
2020-520,Clay,100644,105732
2020-0319,Clay,200175,105870
2020-0568,Hard,104527,105539
2020-8888,Hard,134770,104926
2020-0424,Hard,104312,111442
2020-0499,Hard,105683,105449
2020-6932,Clay,132283,105583
2020-560,Hard,126207,104312
2020-560,Hard,126207,105357
2020-560,Hard,106233,200282
2020-520,Clay,105430,111442
2020-580,Hard,200615,104542
2020-580,Hard,111581,104665
2020-0499,Hard,206909,111815
2020-560,Hard,106099,105902
2020-M009,Clay,206173,105332
2020-520,Clay,105841,144895
2020-M-DC-2020-QLS-M-USA-UZB-01,Hard,126203,122109
2020-M-DC-2020-WG2-PO-CRC-BUL-01,Hard,200247,132374
2020-520,Clay,106065,106228
2020-580,Hard,105777,106228
2020-580,Hard,106043,144750
2020-9158,Clay,106426,106043
2020-0375,Hard,105577,105379
2020-0495,Hard,126774,105807
2020-560,Hard,105777,126205
2020-560,Hard,200670,106148
2020-0568,Hard,124187,126120
2020-7434,Hard,200282,106234
2020-8888,Hard,104327,111815
2020-0451,Hard,126094,105732
2020-580,Hard,106296,105633
2020-580,Hard,105138,103852
2020-6932,Clay,106426,105643
2020-560,Hard,133430,200624
2020-0568,Hard,111815,200175
2020-M009,Clay,105357,105311
2020-M-DC-2020-WG1-PO-PER-SUI-01,Clay,122669,105757
2020-M-DC-2020-WG2-PO-MAR-VIE-01,Clay,125842,202300
2020-7434,Hard,106078,104678
2020-580,Hard,126203,104731
2020-9158,Clay,126149,126663
2020-0506,Clay,105155,106043
2020-560,Hard,106078,105583
2020-560,Hard,106421,106331
2020-520,Clay,105138,104755
2020-520,Clay,105948,105332
2020-7434,Hard,206173,144817
2020-580,Hard,105916,126205
2020-580,Hard,100644,104527
2020-M004,Hard,104745,126203
2020-560,Hard,106148,103852
2020-M009,Clay,128034,105554
2020-520,Clay,126203,207830
2020-0451,Hard,117356,105575
2020-580,Hard,111442,122330
2020-9158,Clay,104655,105643
2020-0375,Hard,104755,104468
