tourney_id,surface,winner_id,loser_id
2019-M-DC-2019-FLS-A-M-SRB-JPN-01,Hard,105936,105216
2019-M001,Hard,111442,106121
2019-0496,Hard,200005,106432
2019-M006,Hard,105453,105173
2019-M021,Clay,104745,126207
2019-520,Clay,105807,105311
2019-520,Clay,104919,106043
2019-0311,Grass,200000,106401
2019-540,Grass,105062,105526
2019-7480,Hard,106121,105815
2019-0421,Hard,106233,133430
2019-M-DC-2019-FLS-E-M-GBR-NED-01,Hard,104918,134868
2019-M024,Hard,105138,200175
2019-M-DC-2019-FLS-B-M-CRO-RUS-01,Hard,126094,127339
2019-520,Clay,105777,104386
2019-0421,Hard,105550,105430
2019-0315,Grass,106368,104660
2019-5014,Hard,103819,105676
2019-M015,Hard,105023,106043
2019-7581,Hard,144750,105311
2019-0421,Hard,105550,105676
2019-5014,Hard,133430,126207
2019-0451,Hard,105732,109739
2019-580,Hard,105777,104386
2019-0424,Hard,105023,105430
2019-0496,Hard,128034,105936
2019-M004,Hard,103852,105583
2019-0717,Clay,106426,105967
2019-7648,Clay,105226,105357
2019-M007,Hard,106421,105173
2019-M007,Hard,104926,105819
2019-M016,Grass,105341,104868
2019-0568,Hard,106432,134770
2019-M015,Hard,100644,126207
2019-M-DC-2019-G1-EPA-M-HUN-UKR-01,Clay,105916,105011
2019-9164,Hard,104792,111815
2019-M-DC-2019-G2-AO-M-NZL-INA-01,Hard,208055,207134
2019-0421,Hard,106426,111513
2019-5014,Hard,105807,105585
2019-0414,Clay,105373,127157
2019-7480,Hard,126952,105649
2019-M-DC-2019-G2-AM-M-PER-ESA-01,Hard,122669,108763
2019-M-DC-2019-G1-EPA-M-SWE-ISR-01,Hard,144707,122548
2019-9164,Hard,105138,104665
2019-M035,Hard,105227,200000
2019-M007,Hard,103819,105936
2019-7581,Hard,122330,126203
2019-580,Hard,106421,105676
2019-0495,Hard,103819,104259
2019-M021,Clay,104871,105077
2019-M006,Hard,128034,106298
2019-M021,Clay,104925,126203
2019-520,Clay,106415,111456
2019-520,Clay,134770,126610
2019-0311,Grass,103852,105223
2019-540,Grass,126610,106043
2019-0315,Grass,104999,105065
2019-560,Hard,104665,106378
2019-M-DC-2019-QLS-M-BEL-BRA-01,Clay,106293,104297
2019-7480,Hard,126203,136440
2019-560,Hard,104527,206173
2019-560,Hard,106298,104259
2019-5014,Hard,106421,100644
2019-580,Hard,105453,105807
2019-580,Hard,100644,106109
2019-0424,Hard,104545,106071
2019-M007,Hard,105683,109739
2019-0717,Clay,123755,111442
2019-7648,Clay,104655,120424
2019-520,Clay,106432,105379
2019-540,Grass,105311,206703
2019-540,Grass,105453,106329
2019-0319,Clay,124116,111192
2019-M024,Hard,200282,124187
2019-M-DC-2019-G1-AO-M-UZB-LBN-01,Clay,127300,200273
2019-M024,Hard,105138,128034
2019-M-DC-2019-QLS-M-SRB-UZB-01,Hard,104797,105583
2019-M006,Hard,133430,105449
2019-0425,Clay,105526,126774
2019-M021,Clay,104871,106043
2019-7648,Clay,106432,104898
2019-520,Clay,104655,126125
2019-520,Clay,103819,106214
2019-M016,Grass,105449,124187
2019-540,Grass,126094,106426
2019-540,Grass,103819,106298
2019-7480,Hard,106043,126203
2019-0328,Hard,200282,105526
2019-M-DC-2019-FLS-D-M-BEL-COL-01,Hard,104327,105053
2019-0328,Hard,126207,105554
2019-7650,Grass,104678,106075
2019-0352,Hard,104527,105227
2019-5014,Hard,106421,126774
2019-M001,Hard,104312,126774
2019-7434,Hard,104898,106220
2019-M004,Hard,111815,106415
2019-M007,Hard,106378,125802
2019-7648,Clay,105936,105430
2019-520,Clay,105643,104198
2019-540,Grass,106401,111442
2019-0319,Clay,104655,110602
2019-7480,Hard,106423,126125
2019-560,Hard,105379,105332
2019-0352,Hard,105173,134770
2019-0314,Clay,105311,104327
2019-M-DC-2019-FLS-B-M-ESP-RUS-01,Hard,126094,105138
2019-0315,Grass,122330,104719
2019-M-DC-2019-FLS-M-AUS-CAN-01,Hard,200282,133430
2019-540,Grass,126203,104607
2019-M035,Hard,126207,122330
2019-M-DC-2019-G1-EPA-M-SUI-SVK-01,Clay,105757,105373
2019-7485,Hard,104527,206173
2019-520,Clay,105138,105449
2019-580,Hard,105227,104269
2019-0424,Hard,124187,111790
2019-M004,Hard,106401,104312
2019-M004,Hard,100644,200615
2019-0533,Clay,105477,205734
2019-M006,Hard,105227,105583
2019-M021,Clay,105227,105526
2019-0717,Clay,123755,103893
2019-7290,Clay,104871,105807
2019-M-DC-2019-FLS-E-M-GBR-KAZ-01,Hard,106378,105062
2019-0421,Hard,111575,100644
2019-7485,Hard,105526,106296
2019-560,Hard,106043,105815
2019-0568,Hard,134770,106099
2019-M014,Hard,200175,144984
2019-0429,Hard,105023,105777
